,dense gpu round num,dense cpu round num,sparse gpu round num,sparse cpu round num,det. dense gpu round num,det. sparse gpu round num,graph dense gpu round num,graph sparse gpu round num,small eps. dense gpu round num,small eps. dense cpu round num,small eps. sparse gpu round num,small eps. sparse cpu round num
500,3176.87 (1558.82),3071.33 (1552.49),4372.33 (2552.93),4364.33 (2557.94),3071.33 (1552.49),4364.33 (2557.94),3163.73 (1526.89),4372.33 (2552.93),12983.27 (7189.66),12974.00 (7424.21),8825.00 (5829.74),8773.67 (5866.24)
744,3507.33 (1662.54),3737.00 (1873.35),9935.13 (7039.40),9940.67 (7189.57),3737.00 (1873.35),9940.67 (7189.57),3571.80 (1682.33),9922.07 (7091.79),19938.93 (11491.31),19108.33 (11107.58),39266.60 (37265.98),39119.33 (37047.20)
1108,1979.93 (714.35),1377.67 (526.72),11520.53 (6794.83),11397.33 (6637.62),1377.67 (526.72),11397.33 (6637.62),2027.13 (593.52),11580.00 (6869.16),8743.67 (5668.91),8699.33 (5798.44),50844.73 (30931.16),50865.00 (30892.46)
1650,4425.67 (2154.68),4353.00 (1932.48),10452.33 (7188.58),10308.00 (7801.87),4353.00 (1932.48),10308.00 (7801.87),4487.33 (1763.11),10528.87 (6859.08),30853.53 (5291.65),32172.33 (5270.22),51902.67 (44364.14),51202.67 (43619.23)
2458,4256.67 (2373.14),5170.33 (3090.82),10241.33 (4299.81),10676.33 (4504.33),5170.33 (3090.82),10676.33 (4504.33),4168.73 (1843.62),10541.07 (4061.93),98341.80 (30987.04),99424.00 (31197.76),71565.07 (11296.83),69787.33 (10297.77)
3660,8935.07 (5543.74),10066.67 (4992.63),14965.73 (8134.88),13846.33 (5763.02),10066.67 (4992.63),13846.33 (5763.02),9234.07 (4502.62),14501.40 (8401.92),497157.07 (288563.89),502452.33 (292669.05),110249.27 (72795.18),106652.00 (65676.08)
5451,4465.53 (2148.99),5199.33 (2910.33),15995.80 (5355.98),17505.33 (5076.97),5199.33 (2910.33),17505.33 (5076.97),4374.47 (2003.38),15702.53 (5367.41),,,177905.27 (96852.25),178896.00 (95227.85)
8117,7676.47 (2541.58),7244.33 (543.67),37770.93 (22505.28),35732.33 (22439.67),7244.33 (543.67),35732.33 (22439.67),8457.73 (4305.18),36962.40 (21007.62),,,,
12087,7030.67 (3883.93),5592.33 (3142.12),32082.73 (13655.47),33686.33 (7832.03),5592.33 (3142.12),33686.33 (7832.03),5680.53 (1954.80),30132.13 (14260.18),,,,
18000,7145.13 (2837.96),8186.00 (4972.83),41501.73 (19470.77),37676.67 (10612.75),8186.00 (4972.83),37676.67 (10612.75),8258.53 (4945.32),42904.80 (18815.52),,,,
