,dense gpu exec time (ms),dense cpu exec time (ms),sparse gpu exec time (ms),sparse cpu exec time (ms),det. dense gpu exec time (ms),det. sparse gpu exec time (ms),graph dense gpu exec time (ms),graph sparse gpu exec time (ms),small eps. dense gpu exec time (ms),small eps. dense cpu exec time (ms),small eps. sparse gpu exec time (ms),small eps. sparse cpu exec time (ms)
500,85.00 (37.54),20.65 (5.34),117.37 (58.07),31.48 (6.26),92.94 (42.71),128.68 (67.40),73.74 (32.33),101.06 (51.33),332.91 (170.34),67.15 (25.50),235.50 (137.29),53.56 (15.53)
744,97.97 (41.19),40.67 (9.58),265.52 (172.16),93.99 (40.66),112.45 (50.99),296.72 (200.90),86.62 (36.46),231.96 (154.01),526.87 (284.19),155.06 (55.82),1001.40 (896.04),283.08 (204.67)
1108,64.73 (19.74),51.04 (11.59),320.12 (171.10),169.61 (57.40),52.81 (15.88),332.83 (174.42),57.80 (14.00),286.57 (155.68),256.91 (150.48),185.28 (89.25),1395.63 (804.18),565.46 (263.96)
1650,137.25 (56.77),132.21 (26.90),308.50 (185.74),288.21 (97.78),143.84 (54.01),327.17 (217.55),120.71 (40.80),269.00 (155.25),842.73 (137.65),635.01 (76.98),1467.23 (1161.82),1000.44 (528.70)
2458,148.29 (65.22),254.13 (60.48),335.39 (114.21),571.08 (78.00),182.95 (87.58),367.07 (123.70),124.06 (42.32),291.47 (89.15),2681.10 (796.02),2367.75 (561.92),2049.85 (286.46),2317.74 (280.92)
3660,296.05 (148.00),618.13 (124.18),498.15 (220.84),1208.28 (245.63),354.84 (146.66),508.78 (176.32),260.63 (103.46),412.66 (193.53),14135.33 (7620.05),17722.16 (6690.81),3278.19 (1973.56),5596.85 (2286.47)
5451,207.40 (66.80),838.33 (177.88),609.23 (153.59),2306.07 (250.25),240.65 (91.84),693.91 (153.86),172.92 (47.32),496.16 (122.28),,,5707.31 (2863.20),12747.94 (3816.37)
8117,362.77 (78.52),1783.74 (78.09),1375.81 (676.95),5988.42 (1855.90),371.49 (18.88),1358.39 (689.89),322.60 (99.48),1087.09 (486.54),,,,
12087,451.84 (119.83),2885.70 (297.15),1400.44 (424.43),9545.33 (738.69),437.07 (106.00),1547.90 (251.25),368.84 (48.86),1137.45 (336.49),,,,
18000,687.58 (103.78),5541.21 (741.21),2228.96 (693.61),18053.06 (1392.17),781.46 (196.09),2220.35 (405.54),680.20 (155.95),2021.77 (568.53),,,,
